epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.943,1.46957,3.64873,1.633,0.42634,0.31346,0.28284,0.21742,1.57247,2.91833,1.75256,0.00331439,0.00331439,0.00331439
2,209.416,1.44151,2.7596,1.60238,0.55346,0.40979,0.37183,0.25935,1.626,2.56017,1.79798,0.00662579,0.00662579,0.00662579
3,308.66,1.5053,2.57162,1.6386,0.69744,0.2126,0.25719,0.15804,2.02913,3.46544,2.39883,0.00991519,0.00991519,0.00991519
4,407.668,1.58331,2.55708,1.70566,0.63273,0.27533,0.28069,0.16424,1.9518,3.03112,2.16689,0.009901,0.009901,0.009901
5,506.152,1.5929,2.47094,1.70154,0.43148,0.34411,0.3447,0.24939,1.81833,2.95668,2.00763,0.009868,0.009868,0.009868
6,605.728,1.53606,2.32885,1.66172,0.62844,0.44884,0.46228,0.31944,1.72822,2.39345,1.8593,0.009835,0.009835,0.009835
7,706.053,1.51678,2.21779,1.6328,0.5262,0.48045,0.4753,0.33477,1.60549,2.346,1.71917,0.009802,0.009802,0.009802
8,807.596,1.49884,2.15571,1.62035,0.736,0.42293,0.44737,0.33202,1.63847,2.45255,1.85161,0.009769,0.009769,0.009769
9,907.13,1.45684,2.08936,1.6028,0.48774,0.4893,0.4737,0.33509,1.595,2.16978,1.71805,0.009736,0.009736,0.009736
10,1007.18,1.44651,2.02985,1.58283,0.59564,0.42828,0.46815,0.33486,1.57624,2.3012,1.72395,0.009703,0.009703,0.009703
11,1106.38,1.40595,1.97923,1.5591,0.65422,0.4752,0.47963,0.35715,1.55237,2.13988,1.69731,0.00967,0.00967,0.00967
12,1206.73,1.40665,1.96162,1.55261,0.51254,0.51378,0.4973,0.35984,1.54593,2.08952,1.66904,0.009637,0.009637,0.009637
